"seqnames"	"starts"	"ends"	"names"	"scores"	"strands"	"pvalue..log10"	"fold_enrichment"	"qvalue..log10"	"V.30.SUMO"	"ICI.30.SUMO"	"ICI.180.SUMO"
"1"	"chr20"	52739412	52741602	"peak_call/ICI_30_peak_6983"	45975	"*"	4607.01904	37.98177	4597.52295	1	1	1
"2"	"chr20"	49378327	49382226	"peak_call/ICI_30_peak_6946"	39997	"*"	4007.10571	34.32859	3999.7334	1	1	1
"3"	"chr20"	46703423	46706624	"peak_call/ICI_30_peak_6876"	31193	"*"	3126.29883	46.89782	3119.34302	1	1	1
"4"	"chr17"	64947134	64949959	"peak_call/ICI_30_peak_4878"	21286	"*"	2135.30933	77.53243	2128.67603	1	1	1
"5"	"chr8"	129151988	129155972	"peak_call/ICI_30_peak_10976"	20359	"*"	2042.52515	81.77103	2035.93591	1	1	0
"6"	"chr20"	52277454	52279119	"peak_call/ICI_30_peak_6968"	18831	"*"	1889.68445	14.94396	1883.16516	0	0	0
"7"	"chr17"	49020672	49023960	"peak_call/ICI_30_peak_4715"	17217	"*"	1728.16431	97.79185	1721.72327	0	1	1
"8"	"chr17"	59799766	59802504	"peak_call/ICI_30_peak_4808"	17181	"*"	1724.58203	13.76215	1718.14209	1	1	1
"9"	"chr8"	103611768	103615173	"peak_call/ICI_30_peak_10870"	17101	"*"	1716.6261	97.0732	1710.19666	0	1	0
"10"	"chr17"	58095223	58097521	"peak_call/ICI_30_peak_4784"	16507	"*"	1657.06262	25.4702	1650.72937	0	1	1
"11"	"chr20"	52811168	52812781	"peak_call/ICI_30_peak_6986"	15880	"*"	1594.32507	18.67672	1588.03931	0	1	1
"12"	"chr16"	85498003	85500969	"peak_call/ICI_30_peak_4313"	15652	"*"	1571.54553	122.88776	1565.27832	0	1	1
"13"	"chr6"	1640493	1642789	"peak_call/ICI_30_peak_9250"	14228	"*"	1429.04736	124.27137	1422.86951	0	1	0
"14"	"chr20"	46785824	46787908	"peak_call/ICI_30_peak_6880"	14137	"*"	1419.89099	29.29519	1413.71814	0	1	1
"15"	"chr11"	72495822	72499176	"peak_call/ICI_30_peak_1967"	13794	"*"	1385.57068	101.9756	1379.42407	0	1	1
"16"	"chr17"	38603499	38606220	"peak_call/ICI_30_peak_4610"	13581	"*"	1364.31543	119.74143	1358.18652	0	1	0
"17"	"chr9"	138283057	138286684	"peak_call/ICI_30_peak_11592"	13289	"*"	1335.03638	87.53887	1328.94043	0	1	1
"18"	"chr3"	14297447	14299104	"peak_call/ICI_30_peak_7589"	13263	"*"	1332.43237	86.98365	1326.33923	0	0	0
"19"	"chr8"	128881401	128884068	"peak_call/ICI_30_peak_10972"	12971	"*"	1303.20532	64.27557	1297.14087	1	1	1
"20"	"chr1"	1007150	1010617	"peak_call/ICI_30_peak_5"	12282	"*"	1234.24524	93.06628	1228.24231	0	1	0
"21"	"chr11"	71191303	71193559	"peak_call/ICI_30_peak_1953"	12072	"*"	1213.19763	103.52168	1207.21631	1	1	1
"22"	"chr14"	104158231	104160981	"peak_call/ICI_30_peak_3457"	12023	"*"	1208.30737	70.59126	1202.33093	0	1	0
"23"	"chr2"	11637341	11640255	"peak_call/ICI_30_peak_5757"	11871	"*"	1193.12756	106.41361	1187.16382	0	1	0
"24"	"chr12"	132344061	132347318	"peak_call/ICI_30_peak_2724"	11389	"*"	1144.91553	87.5737	1138.99805	0	1	1
"25"	"chr11"	69329099	69331152	"peak_call/ICI_30_peak_1925"	11316	"*"	1137.60291	69.55656	1131.69226	1	1	0
"26"	"chr16"	88991032	88996059	"peak_call/ICI_30_peak_4381"	11256	"*"	1131.5719	100.88865	1125.66699	1	1	1
"27"	"chr5"	167742155	167744308	"peak_call/ICI_30_peak_9139"	11233	"*"	1129.24927	102.98065	1123.34558	0	0	0
"28"	"chr17"	56716379	56717903	"peak_call/ICI_30_peak_4754"	11175	"*"	1123.427	20.4114	1117.52979	0	1	1
"29"	"chr20"	47480557	47482641	"peak_call/ICI_30_peak_6902"	10967	"*"	1102.59302	26.94731	1096.71826	0	1	1
"30"	"chr19"	16573178	16576661	"peak_call/ICI_30_peak_5407"	10924	"*"	1098.36047	92.43531	1092.49109	1	1	0
"31"	"chr20"	58562283	58564200	"peak_call/ICI_30_peak_7036"	10917	"*"	1097.65991	43.35425	1091.79224	0	1	0
"32"	"chr5"	105576195	105578803	"peak_call/ICI_30_peak_8921"	10549	"*"	1060.76184	79.15415	1054.93726	1	1	1
"33"	"chr12"	116826977	116829468	"peak_call/ICI_30_peak_2593"	10488	"*"	1054.63904	97.54472	1048.82007	0	1	0
"34"	"chr8"	128812130	128814262	"peak_call/ICI_30_peak_10967"	10482	"*"	1054.0249	42.80993	1048.20691	0	0	0
"35"	"chr2"	216845711	216849038	"peak_call/ICI_30_peak_6466"	10016	"*"	1007.42419	94.07177	1001.65125	0	0	0
"36"	"chr21"	43795565	43797479	"peak_call/ICI_30_peak_7259"	9794	"*"	985.23926	68.38613	979.4856	1	1	1
"37"	"chr14"	93482732	93484949	"peak_call/ICI_30_peak_3353"	9716	"*"	977.36646	81.08612	971.61908	0	1	1
"38"	"chr11"	1816907	1818635	"peak_call/ICI_30_peak_1646"	9406	"*"	946.39551	89.54182	940.67291	1	1	1
"39"	"chr14"	67945518	67947994	"peak_call/ICI_30_peak_3187"	9401	"*"	945.82404	75.68549	940.10187	0	0	0
"40"	"chr17"	66324400	66326307	"peak_call/ICI_30_peak_4895"	9398	"*"	945.55121	47.92083	939.82922	1	1	0
"41"	"chr5"	131713258	131715589	"peak_call/ICI_30_peak_8986"	9046	"*"	910.32831	73.3213	904.64148	0	0	0
"42"	"chr15"	75108807	75111330	"peak_call/ICI_30_peak_3711"	8915	"*"	897.24255	75.09707	891.56769	0	1	1
"43"	"chr20"	52765195	52766203	"peak_call/ICI_30_peak_6985"	8785	"*"	884.18713	12.11714	878.52405	0	0	0
"44"	"chr12"	53363558	53367523	"peak_call/ICI_30_peak_2354"	8703	"*"	876.01099	60.85341	870.35669	1	1	1
"45"	"chr20"	52401731	52403794	"peak_call/ICI_30_peak_6973"	8534	"*"	859.11774	8.1358	853.47931	1	1	0
"46"	"chr15"	39959855	39962024	"peak_call/ICI_30_peak_3539"	8422	"*"	847.86768	63.90066	842.23901	0	0	0
"47"	"chr16"	70169952	70171824	"peak_call/ICI_30_peak_4196"	8355	"*"	841.21753	54.78872	835.5946	0	1	0
"48"	"chr16"	85338623	85340907	"peak_call/ICI_30_peak_4304"	8259	"*"	831.5282	60.61171	825.9137	0	0	0
"49"	"chr16"	88826839	88830987	"peak_call/ICI_30_peak_4374"	8250	"*"	830.62769	74.24469	825.01434	0	1	0
"50"	"chr21"	46749556	46751490	"peak_call/ICI_30_peak_7322"	8164	"*"	822.0509	64.93825	816.44733	1	1	1
"51"	"chr1"	16933994	16936151	"peak_call/ICI_30_peak_115"	8136	"*"	819.22955	33.78923	813.63049	0	1	0
"52"	"chr9"	33233367	33235272	"peak_call/ICI_30_peak_11141"	8049	"*"	810.55853	79.27396	804.97223	0	1	1
"53"	"chr11"	46384226	46386152	"peak_call/ICI_30_peak_1759"	7957	"*"	801.34918	72.12599	795.7746	0	0	0
"54"	"chr9"	140407891	140410065	"peak_call/ICI_30_peak_11635"	7877	"*"	793.35236	61.46536	787.78748	0	1	1
"55"	"chr6"	125522507	125527035	"peak_call/ICI_30_peak_9726"	7858	"*"	791.45129	58.35925	785.88879	0	1	0
"56"	"chr11"	77866640	77868936	"peak_call/ICI_30_peak_2013"	7835	"*"	789.10364	45.5225	783.54388	0	1	0
"57"	"chr14"	95521836	95523632	"peak_call/ICI_30_peak_3368"	7710	"*"	776.63428	67.44646	771.09186	0	1	1
"58"	"chr17"	72754025	72758129	"peak_call/ICI_30_peak_4941"	7702	"*"	775.78552	64.77317	770.24384	0	0	0
"59"	"chr2"	11679183	11681437	"peak_call/ICI_30_peak_5762"	7670	"*"	772.60742	74.50992	767.06964	0	1	0
"60"	"chr14"	77865888	77867808	"peak_call/ICI_30_peak_3302"	7658	"*"	771.42767	51.65532	765.89142	0	1	0
"61"	"chr3"	161056170	161058754	"peak_call/ICI_30_peak_8048"	7596	"*"	765.14972	50.23683	759.62323	1	1	1
"62"	"chr17"	55975990	55979167	"peak_call/ICI_30_peak_4747"	7556	"*"	761.13721	35.55593	755.61737	0	0	0
"63"	"chr13"	39258324	39260653	"peak_call/ICI_30_peak_2826"	7501	"*"	755.71033	75.04601	750.19794	0	1	0
"64"	"chr19"	1181113	1182619	"peak_call/ICI_30_peak_5242"	7371	"*"	742.63702	65.4828	737.14294	0	1	1
"65"	"chr1"	150953513	150955350	"peak_call/ICI_30_peak_547"	7350	"*"	740.55945	40.33123	735.0686	0	0	0
"66"	"chr3"	193876020	193878196	"peak_call/ICI_30_peak_8195"	7315	"*"	737.07245	59.7068	731.58649	0	1	0
"67"	"chr22"	29208861	29210780	"peak_call/ICI_30_peak_7406"	7308	"*"	736.28552	73.53603	730.8006	0	1	0
"68"	"chr2"	39406739	39408732	"peak_call/ICI_30_peak_5865"	7288	"*"	734.29089	57.21965	728.80927	0	1	0
"69"	"chr10"	29412717	29414921	"peak_call/ICI_30_peak_1141"	7192	"*"	724.67334	72.63005	719.20422	1	1	1
"70"	"chr16"	376192	378422	"peak_call/ICI_30_peak_3910"	7114	"*"	716.94995	72.02605	711.49115	0	1	0
"71"	"chr5"	172961548	172963651	"peak_call/ICI_30_peak_9174"	7010	"*"	706.53601	55.438	701.09186	1	1	0
"72"	"chr19"	38788786	38792124	"peak_call/ICI_30_peak_5530"	6999	"*"	705.39209	71.12006	699.94928	0	1	0
"73"	"chr17"	38477903	38479619	"peak_call/ICI_30_peak_4608"	6922	"*"	697.7052	70.51608	692.27332	0	0	0
"74"	"chr9"	114773372	114775665	"peak_call/ICI_30_peak_11393"	6812	"*"	686.63397	42.1204	681.21729	0	0	0
"75"	"chr19"	18556997	18558874	"peak_call/ICI_30_peak_5436"	6807	"*"	686.20288	69.61008	680.78656	0	1	0
"76"	"chr20"	49343185	49344953	"peak_call/ICI_30_peak_6944"	6801	"*"	685.53448	9.79567	680.11957	0	1	0
"77"	"chr19"	39203965	39206058	"peak_call/ICI_30_peak_5535"	6788	"*"	684.28918	69.45909	678.87604	0	1	0
"78"	"chr12"	67877007	67878589	"peak_call/ICI_30_peak_2419"	6780	"*"	683.48969	56.19703	678.07782	0	0	0
"79"	"chr16"	4201471	4203984	"peak_call/ICI_30_peak_3979"	6769	"*"	682.37622	69.30809	676.96606	0	1	0
"80"	"chr1"	203057879	203059382	"peak_call/ICI_30_peak_783"	6740	"*"	679.43408	53.18139	674.02863	0	1	1
"81"	"chr9"	132250315	132252347	"peak_call/ICI_30_peak_11522"	6674	"*"	672.854	66.91283	667.45862	1	1	1
"82"	"chr1"	202081346	202082715	"peak_call/ICI_30_peak_769"	6591	"*"	664.49896	44.36501	659.11688	0	1	0
"83"	"chr12"	122186227	122188222	"peak_call/ICI_30_peak_2638"	6575	"*"	662.94733	50.98755	657.56726	0	1	0
"84"	"chr2"	218252034	218253840	"peak_call/ICI_30_peak_6479"	6574	"*"	662.80157	55.04398	657.42175	0	0	0
"85"	"chr10"	43520906	43522914	"peak_call/ICI_30_peak_1202"	6542	"*"	659.61499	65.89014	654.23883	0	1	1
"86"	"chr9"	117319700	117321548	"peak_call/ICI_30_peak_11412"	6484	"*"	653.80579	52.37053	648.43805	0	0	0
"87"	"chr17"	70613402	70614974	"peak_call/ICI_30_peak_4914"	6467	"*"	652.07117	65.30575	646.70532	0	0	0
"88"	"chrUn_gl000220"	133740	134556	"peak_call/ICI_30_peak_11661"	6448	"*"	650.1925	2.99985	644.82977	1	1	1
"89"	"chr16"	68741036	68743094	"peak_call/ICI_30_peak_4179"	6445	"*"	649.93262	59.08799	644.57074	0	1	0
"90"	"chr5"	132584477	132586099	"peak_call/ICI_30_peak_8998"	6408	"*"	646.21423	66.43913	640.85706	0	1	1
"91"	"chr11"	70650676	70653339	"peak_call/ICI_30_peak_1946"	6408	"*"	646.15936	58.80289	640.80298	0	1	1
"92"	"chr3"	107717746	107719527	"peak_call/ICI_30_peak_7853"	6408	"*"	646.21423	66.43913	640.85706	1	1	1
"93"	"chr2"	175525148	175527098	"peak_call/ICI_30_peak_6352"	6391	"*"	644.54279	64.72136	639.18811	0	1	0
